"state","Management","Year","Diet","Location","biomass.kgha","prod_yr_kgha","prod_yr_F0.2","net.turn","net.turnF"
"Recovering","Protected",2014,"HerDet","Ste Anne Granite",477.5687403,104.0615066,104.0615066,21.78984884,21.78984884
"Recovering","Protected",2017,"HerDet","Ste Anne Granite",620.5295027,153.964477,153.964477,24.81178999,24.81178999
"Recovering","Protected",1994,"HerMac","Ste Anne Granite",0,0,0,NA,NA
"Recovering","Protected",2005,"HerMac","Ste Anne Granite",22.15562922,9.663570706,9.663570706,43.61677391,43.61677391
"Recovering","Protected",2008,"HerMac","Ste Anne Granite",54.31769038,9.301773839,9.301773839,17.12475949,17.12475949
"Recovering","Protected",2011,"HerMac","Ste Anne Granite",18.31111547,9.239097183,9.239097183,50.4562226,50.4562226
"Recovering","Protected",2014,"HerMac","Ste Anne Granite",61.07511715,16.78095869,16.78095869,27.47593368,27.47593368
"Recovering","Protected",2017,"HerMac","Ste Anne Granite",34.78678247,11.8488966,11.8488966,34.06149049,34.06149049
"Recovering","Protected",1994,"InvMob","Ste Anne Granite",117.2464362,42.92049731,42.92049731,36.60708052,36.60708052
"Recovering","Protected",2005,"InvMob","Ste Anne Granite",247.4121499,71.58795965,71.58795965,28.9346985,28.9346985
"Recovering","Protected",2008,"InvMob","Ste Anne Granite",297.5389917,79.50431741,79.50431741,26.72063817,26.72063817
"Recovering","Protected",2011,"InvMob","Ste Anne Granite",179.9825107,52.21069362,52.21069362,29.00875947,29.00875947
"Recovering","Protected",2014,"InvMob","Ste Anne Granite",241.5745962,71.70805195,71.70805195,29.68360626,29.68360626
